"timestamp","texture_a","taste_a","quality_a","texture_b","taste_b","quality_b","age","sweet_savory","hunger","vegan","dairy","exercise","phase","treatment"
"3/1/2024 11:50:06",9,8,8,6,6,6,21,"Sweet",3,"No, not vegan","Yes, I consume dairy","5-7 hours",1,1
"3/1/2024 13:13:53",7,4,8,8,4,8,20,"Sweet",3,"No, not vegan","Yes, I consume dairy","3-5 hours",1,1
"3/1/2024 13:13:58",3,2,3,5,5,5,19,"Savory",1,"No, not vegan","Yes, I consume dairy","0-2 hours",1,1
"3/1/2024 13:14:45",10,10,10,10,10,10,21,"Sweet",3,"No, not vegan","Yes, I consume dairy","0-2 hours",1,1
"3/1/2024 13:15:00",7,8,5,5,5,4,21,"Sweet",3,"No, not vegan","Yes, I consume dairy","7+ hours",1,1
"3/1/2024 13:15:33",7,6,7,7,4,5,21,"Savory",5,"No, not vegan","Yes, I consume dairy","3-5 hours",1,1
"3/1/2024 13:15:40",7,9,8,9,9,9,20,"Sweet",4,"No, not vegan","Yes, I consume dairy","7+ hours",1,1
"3/1/2024 13:15:42",7,7,4,2,1,1,NA,"Sweet",5,"","","",1,1
"3/1/2024 13:16:01",8,6,7,8,7,7,NA,"Sweet",3,"No, not vegan","Yes, I consume dairy","0-2 hours",1,1
"3/1/2024 13:16:06",9,7,8,9,6,6,NA,"Savory",4,"No, not vegan","Yes, I consume dairy","0-2 hours",1,1
"3/1/2024 13:39:08",7,7,7,7,6,7,21,"Sweet",2,"No, not vegan","Yes, I consume dairy","0-2 hours",1,1
"3/1/2024 14:08:34",4,6,5,6,7,7,20,"Sweet",4,"No, not vegan","Yes, I consume dairy","3-5 hours",1,1
"3/1/2024 14:46:48",4,3,5,6,7,7,20,"Savory",2,"No, not vegan","Yes, I consume dairy","7+ hours",1,1
"3/1/2024 14:48:15",6,6,6,6,8,9,22,"Sweet",3,"No, not vegan","Yes, I consume dairy","7+ hours",1,1
"3/1/2024 14:48:20",8,6,8,9,7,8,21,"Savory",4,"No, not vegan","No, I do not consume dairy ever","0-2 hours",1,1
"3/1/2024 11:51:44",8,8,8,8,10,9,22,"Savory",5,"No, not vegan","No, I do not consume dairy ever","0-2 hours",1,0
"3/1/2024 13:12:05",7,10,8,7,8,8,20,"Sweet",3,"No, not vegan","Yes, I consume dairy","3-5 hours",1,0
"3/1/2024 13:15:23",5,4,5,4,6,6,21,"Savory",5,"No, not vegan","Yes, I consume dairy","3-5 hours",1,0
"3/1/2024 13:15:35",6,7,5,5,7,4,20,"Savory",3,"No, not vegan","Yes, I consume dairy","0-2 hours",1,0
"3/1/2024 13:16:00",8,5,4,7,3,5,NA,"Sweet",4,"No, not vegan","Yes, I consume dairy","0-2 hours",1,0
"3/1/2024 13:16:32",4,2,3,1,4,3,25,"Savory",3,"No, not vegan","Yes, I consume dairy","3-5 hours",1,0
"3/1/2024 14:08:36",10,6,5,3,4,4,20,"Savory",4,"No, not vegan","Yes, I consume dairy","0-2 hours",1,0
"3/1/2024 14:46:45",6,7,5,7,7,7,19,"Savory",1,"No, not vegan","Yes, I consume dairy","0-2 hours",1,0
"3/1/2024 14:46:57",3,9,3,9,6,9,23,"Sweet",2,"No, not vegan","Yes, I consume dairy","0-2 hours",1,0
"3/1/2024 14:46:59",9,9,9,7,8,7,21,"Savory",4,"No, not vegan","Yes, I consume dairy","0-2 hours",1,0
"3/1/2024 14:48:04",9,9,8,9,7,7,20,"Sweet",2,"No, not vegan","Yes, I consume dairy","3-5 hours",1,0
"3/1/2024 14:48:05",7,7,7,9,9,9,20,"Savory",3,"No, not vegan","Yes, I consume dairy","3-5 hours",1,0
"3/1/2024 14:48:08",8,6,7,8,8,9,23,"Savory",3,"No, not vegan","Yes, I consume dairy","0-2 hours",1,0
"3/1/2024 14:48:26",9,9,9,9,9,9,24,"Sweet",3,"No, not vegan","Yes, I consume dairy","5-7 hours",1,0
"3/1/2024 14:58:57",2,1,4,9,5,5,22,"Sweet",2,"No, not vegan","Yes, I consume dairy","0-2 hours",1,0
"3/12/2024 13:13:31",7,7,7,3,5,5,19,"Savory",2,"No, not vegan","Yes, I consume dairy","3-5 hours",2,1
"3/12/2024 13:13:35",10,10,10,10,8,10,20,"Sweet",3,"No, not vegan","Yes, I consume dairy","3-5 hours",2,1
"3/12/2024 13:13:54",2,5,6,1,1,1,18,"Sweet",3,"No, not vegan","Yes, I consume dairy","7+ hours",2,1
"3/12/2024 13:13:57",6,8,7,7,9,9,20,"Sweet",2,"No, not vegan","Yes, I consume dairy","0-2 hours",2,1
"3/12/2024 13:14:01",6,5,4,8,6,7,18,"Savory",3,"No, not vegan","Yes, I consume dairy","3-5 hours",2,1
"3/12/2024 13:14:03",6,7,8,4,5,5,19,"Sweet",3,"No, not vegan","Yes, I consume dairy","3-5 hours",2,1
"3/12/2024 13:14:06",8,9,9,9,5,6,21,"Sweet",4,"No, not vegan","Yes, I consume dairy","0-2 hours",2,1
"3/12/2024 13:14:14",9,4,8,3,3,3,21,"Sweet",3,"No, not vegan","Yes, I consume dairy","7+ hours",2,1
"3/12/2024 13:14:16",8,8,8,3,5,3,18,"Sweet",3,"No, not vegan","Yes, I consume dairy","5-7 hours",2,1
"3/12/2024 13:14:19",10,8,9,8,4,5,20,"Savory",1,"No, not vegan","Yes, I consume dairy","3-5 hours",2,1
"3/12/2024 13:14:54",10,10,10,3,7,2,18,"Sweet",2,"No, not vegan","Yes, I consume dairy","5-7 hours",2,1
"3/12/2024 13:15:38",7,8,8,10,5,6,20,"Sweet",4,"No, not vegan","Yes, I consume dairy","3-5 hours",2,1
"3/13/2024 15:33:50",9,9,10,7,8,7,19,"Savory",3,"No, not vegan","Yes, I consume dairy","3-5 hours",2,1
"3/13/2024 15:34:27",10,8,8,10,5,3,18,"Savory",3,"No, not vegan","Yes, I consume dairy","0-2 hours",2,1
"3/13/2024 15:34:32",8,8,8,6,5,5,19,"Sweet",4,"No, not vegan","Yes, I consume dairy","3-5 hours",2,1
"3/13/2024 15:34:50",9,8,8,9,5,8,19,"Sweet",3,"No, not vegan","Yes, I consume dairy","7+ hours",2,1
"3/13/2024 15:34:51",9,9,9,9,7,7,20,"Sweet",5,"No, not vegan","Yes, I consume dairy","7+ hours",2,1
