Timestamp,How would you rate the texture?,How would you rate the taste?,How would you rate the perceived quality?,How would you rate the texture?,How would you rate the taste?,How would you rate the perceived quality?,Age in years,What's your general preference?,"On a scale of 1-5, how hungry are you?",Are you vegan?,Do you consume dairy?,How many hours a week do you exercise?
3/12/2024 14:12:07,8,6,6,4,2,3,20,Savory,2,"No, not vegan","Yes, I consume dairy",5-7 hours
3/12/2024 14:12:27,9,1,3,6,7,5,21,Sweet,3,"No, not vegan","Yes, I consume dairy",7+ hours
3/12/2024 14:12:34,9,9,10,6,5,4,19,Sweet,2,"No, not vegan","Yes, I consume dairy",7+ hours
3/12/2024 14:12:36,8,8,8,9,7,10,18,Savory,3,"No, not vegan","Yes, I consume dairy",0-2 hours
3/12/2024 14:12:45,9,9,9,9,8,8,18,Sweet,3,"No, not vegan","Yes, I consume dairy",5-7 hours
3/12/2024 14:12:46,10,10,10,4,3,4,19,Sweet,3,"No, not vegan","Yes, I consume dairy",0-2 hours
3/12/2024 14:12:55,8,7,6,7,7,8,18,Sweet,2,"No, not vegan","Yes, I consume dairy",7+ hours
3/12/2024 14:13:03,7,7,5,6,7,4,19,Savory,1,"No, not vegan","Yes, I consume dairy",7+ hours
3/12/2024 14:13:34,9,8,9,7,6,6,18,Savory,3,"No, not vegan","Yes, I consume dairy",3-5 hours
3/12/2024 14:14:40,5,6,5,4,6,5,47,Savory,3,"No, not vegan",,5-7 hours
3/12/2024 15:02:01,9,9,10,6,6,7,18,Sweet,3,"No, not vegan","Yes, I consume dairy",3-5 hours
3/12/2024 15:12:43,7,8,8,4,6,7,20,Savory,3,"No, not vegan","Yes, I consume dairy",0-2 hours
3/12/2024 15:12:46,10,9,9,2,4,5,18,Savory,3,"No, not vegan","Yes, I consume dairy",5-7 hours
3/12/2024 15:13:04,6,7,7,4,5,4,20,Savory,2,"No, not vegan","Yes, I consume dairy",0-2 hours
3/12/2024 15:13:33,8,8,7,4,2,1,22,Sweet,4,"No, not vegan","Yes, I consume dairy",7+ hours
3/12/2024 15:16:40,10,10,10,8,6,6,18,Savory,3,"No, not vegan","Yes, I consume dairy",0-2 hours
3/13/2024 13:34:48,10,9,10,2,4,2,19,Savory,3,"No, not vegan","Yes, I consume dairy",3-5 hours
3/13/2024 13:35:11,8,7,7,9,6,6,19,Sweet,3,"No, not vegan","Yes, I consume dairy",5-7 hours
3/13/2024 13:35:17,10,10,10,2,2,4,19,Savory,5,"No, not vegan","Yes, I consume dairy",0-2 hours
3/13/2024 13:35:36,4,4,2,5,2,4,18,Sweet,4,"No, not vegan","Yes, I consume dairy",7+ hours
3/13/2024 13:35:37,7,8,7,6,6,6,19,Sweet,2,"No, not vegan","Yes, I consume dairy",7+ hours
3/13/2024 13:35:42,7,5,7,8,8,8,18,Savory,4,"No, not vegan","Yes, I consume dairy",3-5 hours
3/13/2024 13:35:47,7,7,7,6,6,6,18,Sweet,4,"No, not vegan","Yes, I consume dairy",5-7 hours
3/13/2024 13:35:49,7,8,6,9,8,5,19,Sweet,4,"No, not vegan","Yes, I consume dairy",3-5 hours
3/13/2024 13:36:02,6,3,4,3,2,4,19,Savory,3,"No, not vegan","Yes, I consume dairy",0-2 hours
3/13/2024 13:36:13,7,8,8,6,4,6,18,Sweet,2,"No, not vegan","Yes, I consume dairy",7+ hours
3/13/2024 13:36:18,8,4,8,9,7,7,18,Savory,2,"No, not vegan","Yes, I consume dairy",7+ hours
3/13/2024 13:36:32,7,5,4,8,7,8,19,Sweet,3,"No, not vegan","Yes, I consume dairy",0-2 hours
3/19/2024 13:14:22,8,9,6,3,2,5,19,Sweet,3,"No, not vegan","Yes, I consume dairy",0-2 hours
3/19/2024 13:14:57,6,8,5,8,3,3,18,Savory,3,"No, not vegan","Yes, I consume dairy",5-7 hours
3/19/2024 13:15:11,8,6,7,8,6,7,19,Savory,3,"No, not vegan","Yes, I consume dairy",5-7 hours
3/19/2024 13:15:16,10,10,10,8,8,8,21,Savory,5,"No, not vegan","Yes, I consume dairy",0-2 hours
3/19/2024 13:16:09,9,8,9,2,4,3,18,Savory,4,"No, not vegan","Yes, I consume dairy",0-2 hours
3/19/2024 13:16:52,8,8,8,8,6,6,20,Savory,5,"No, not vegan","Yes, I consume dairy",3-5 hours
3/20/2024 19:01:45,10,10,10,10,10,10,20,Sweet,3,"No, not vegan","Yes, I consume dairy",0-2 hours
3/20/2024 19:02:01,9,8,6,6,7,7,22,Savory,3,"No, not vegan","No, I do not consume dairy ever",5-7 hours
3/20/2024 19:02:14,8,7,7,6,8,7,23,Sweet,3,"No, not vegan","Yes, I consume dairy",0-2 hours
3/20/2024 19:02:20,10,10,10,10,6,6,20,Savory,3,"No, not vegan","Yes, I consume dairy",0-2 hours
3/20/2024 19:02:25,8,9,9,5,5,5,22,Savory,3,"No, not vegan","Yes, I consume dairy",0-2 hours
3/20/2024 19:03:06,7,5,8,4,5,4,21,Savory,2,"No, not vegan","Yes, I consume dairy",0-2 hours
3/20/2024 19:04:49,7,6,7,8,8,7,19,Savory,3,"No, not vegan","Yes, I consume dairy",0-2 hours
3/20/2024 19:07:19,10,10,10,10,10,10,19,Sweet,4,"No, not vegan","Yes, I consume dairy",0-2 hours
