Timestamp,How would you rate the texture?,How would you rate the taste?,How would you rate the perceived quality?,How would you rate the texture?,How would you rate the taste?,How would you rate the perceived quality?,Age in years,What's your general preference?,"On a scale of 1-5, how hungry are you?",Are you vegan?,Do you consume dairy?,How many hours a week do you exercise?
4/9/2024 13:13:59,9,9,9,8,7,9,20,Sweet,2,"No, not vegan","Yes, I consume dairy",3-5 hours
4/9/2024 13:14:01,7,9,8,8,9,9,20,Savory,4,"No, not vegan","Yes, I consume dairy",0-2 hours
4/9/2024 13:14:08,9,9,9,7,7,6,19,Savory,3,"No, not vegan","Yes, I consume dairy",0-2 hours
4/9/2024 13:14:15,7,9,8,2,1,1,21,Sweet,2,"No, not vegan","Yes, I consume dairy",7+ hours
4/9/2024 13:14:15,8,8,8,4,3,2,18,Sweet,3,"No, not vegan","Yes, I consume dairy",3-5 hours
4/9/2024 13:14:21,10,7,9,8,5,6,20,Savory,4,"No, not vegan","Yes, I consume dairy",3-5 hours
4/9/2024 13:14:28,7,10,9,10,7,8,18,Sweet,4,"No, not vegan","Yes, I consume dairy",3-5 hours
4/9/2024 13:14:33,9,10,10,4,4,2,19,Sweet,2,"No, not vegan","Yes, I consume dairy",3-5 hours
4/9/2024 13:14:39,9,10,9,8,5,6,20,Savory,1,"No, not vegan","Yes, I consume dairy",0-2 hours
4/9/2024 13:15:22,9,10,10,7,7,4,18,Sweet,1,"No, not vegan","Yes, I consume dairy",7+ hours
4/9/2024 14:35:38,8,8,9,7,4,5,19,Sweet,2,"No, not vegan","Yes, I consume dairy",7+ hours
4/9/2024 14:35:44,10,9,10,6,6,6,18,Sweet,3,"No, not vegan","Yes, I consume dairy",7+ hours
4/9/2024 14:35:47,7,8,8,4,5,3,21,Sweet,3,,"Yes, I consume dairy",3-5 hours
4/9/2024 14:35:59,10,8,10,4,4,4,19,Sweet,3,"No, not vegan","Yes, I consume dairy",3-5 hours
4/9/2024 14:36:01,7,5,8,8,4,5,18,Savory,2,"No, not vegan","Yes, I consume dairy",0-2 hours
4/9/2024 14:36:07,9,6,8,9,9,8,,Savory,3,"No, not vegan","Yes, I consume dairy",7+ hours
4/9/2024 19:18:05,10,10,10,10,6,8,30,Sweet,3,"No, not vegan","Yes, I consume dairy",5-7 hours
4/9/2024 19:18:21,8,8,9,6,3,3,22,Savory,3,"No, not vegan","Yes, I consume dairy",0-2 hours
4/9/2024 19:20:43,9,6,5,1,5,3,23,Sweet,2,"No, not vegan","Yes, I consume dairy",3-5 hours
4/9/2024 19:21:58,7,7,7,7,7,7,27,Savory,1,"No, not vegan","Yes, I consume dairy",0-2 hours
4/9/2024 19:22:12,2,7,5,7,7,5,32,Sweet,2,"No, not vegan","Yes, I consume dairy",5-7 hours
4/9/2024 19:23:19,5,5,7,5,5,5,27,Savory,2,"No, not vegan","Yes, I consume dairy",0-2 hours
4/9/2024 21:30:56,6,7,6,8,8,7,28,Sweet,4,"No, not vegan","Yes, I consume dairy",7+ hours
4/12/2024 13:08:52,8,7,9,6,3,6,21,Sweet,3,"No, not vegan","Yes, I consume dairy",7+ hours
4/12/2024 13:09:12,8,8,7,6,4,4,19,Savory,1,"No, not vegan","Yes, I consume dairy",5-7 hours
4/12/2024 13:09:17,7,8,7,4,9,5,20,Savory,3,"No, not vegan","Yes, I consume dairy",0-2 hours
4/12/2024 13:09:38,10,10,10,1,1,1,,,5,"No, not vegan",,0-2 hours
4/12/2024 13:09:39,10,10,10,9,10,9,21,Sweet,4,"No, not vegan","Yes, I consume dairy",0-2 hours
4/12/2024 13:09:49,6,5,9,9,9,8,21,Savory,3,"No, not vegan","Yes, I consume dairy",7+ hours
4/12/2024 14:58:01,8,8,8,5,6,6,20,Savory,3,"No, not vegan","Yes, I consume dairy",7+ hours
4/12/2024 14:58:09,9,9,7,9,8,7,,Savory,2,"No, not vegan","Yes, I consume dairy",5-7 hours
4/12/2024 14:58:15,8,5,8,4,8,5,,Sweet,3,"No, not vegan","Yes, I consume dairy",0-2 hours
4/12/2024 14:58:49,4,8,6,2,4,3,21,Sweet,5,"No, not vegan","Yes, I consume dairy",7+ hours
4/12/2024 14:58:49,7,8,8,5,7,7,21,Sweet,4,"No, not vegan","Yes, I consume dairy",0-2 hours
4/12/2024 15:20:24,9,9,9,2,2,2,,,,,,
4/12/2024 15:21:32,9,9,10,5,5,5,21,Sweet,3,"No, not vegan","Yes, I consume dairy",7+ hours
